Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2014,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,33.7,56,<= 5.0,*,166,20160519
2014,01,Allegany,0401,South Penn Elementary,Elementary,94.1,37020.5,39344,26.3,89,10.1,34,338,20160519
2014,01,Allegany,0402,John Humbird Elementary,Elementary,94.7,24141.5,25503,26.1,58,6.8,15,222,20160519
2014,01,Allegany,0405,Fort Hill High,High,92.8,80336.5,86564,32.4,241,16.3,121,743,20160519
2014,01,Allegany,0406,Washington Middle,Middle,93.9,74638.0,79447,26.3,180,12.0,82,685,20160519
2014,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,35.6,83,<= 5.0,*,233,20160519
2014,01,Allegany,0504,Braddock Middle,Middle,94.7,62729.0,66268,30.8,177,6.8,39,574,20160519
2014,01,Allegany,0601,Center for Career & Technology Education,High,93.4,32401.5,34679,29.4,88,15.7,47,299,20160519
2014,01,Allegany,0603,West Side Elementary,Elementary,>= 95.0,*,*,32.8,86,<= 5.0,*,262,20160519
2014,01,Allegany,0606,Allegany High,High,93.7,71959.0,76769,31.8,210,11.8,78,660,20160519
2014,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,35.8,97,<= 5.0,*,271,20160519
2014,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,36.6,60,5.5,9,164,20160519
2014,01,Allegany,0801,Westernport Elementary,Elementary,94.4,21571.5,22847,25.1,50,<= 5.0,*,199,20160519
2014,01,Allegany,0802,Westmar Middle,Middle,94.5,30457.0,32240,38.3,108,9.6,27,282,20160519
2014,01,Allegany,1001,George's Creek Elementary,Elementary,>= 95.0,*,*,42.6,104,<= 5.0,*,244,20160519
2014,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,41.7,73,<= 5.0,*,175,20160519
2014,01,Allegany,1301,Mount Savage Middle,Middle,>= 95.0,*,*,31.1,123,<= 5.0,*,396,20160519
2014,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,49.1,79,<= 5.0,*,161,20160519
2014,01,Allegany,2404,Mountain Ridge High School,High,93.1,88692.0,95266,26.3,219,13.7,114,832,20160519
2014,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,35.4,101,<= 5.0,*,285,20160519
2014,01,Allegany,2901,Cash Valley Elementary,Elementary,>= 95.0,*,*,31.5,78,7.3,18,248,20160519
2014,01,Allegany,2902,Parkside Elementary,Elementary,>= 95.0,*,*,38.9,79,<= 5.0,*,203,20160519
2014,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,33.8,1073,<= 5.0,*,3178,20160519
2014,01,Allegany,A,All Allegany Schools,Middle,94.5,211088.0,223328,30.1,584,8.7,168,1941,20160519
2014,01,Allegany,A,All Allegany Schools,High,93.2,273389.0,293278,29.8,756,14.4,366,2538,20160519
2014,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,94.3,79858.5,84721,35.6,254,14.3,102,714,20160519
2014,02,Anne Arundel,1033,Glen Burnie High,High,90.4,200418.5,221757,30.4,573,23.9,450,1882,20160519
2014,02,Anne Arundel,1043,Corkran Middle School,Middle,>= 95.0,*,*,35.9,202,10.0,56,562,20160519
2014,02,Anne Arundel,1053,Lindale Middle,Middle,94.5,87452.5,92573,30.5,242,10.7,85,793,20160519
2014,02,Anne Arundel,1063,Marley Middle,Middle,94.8,85077.5,89708,34.5,264,10.4,80,766,20160519
2014,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,94.4,18291.0,19376,23.2,39,15.5,26,168,20160519
2014,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,94.8,33878.5,35727,30.2,92,10.8,33,305,20160519
2014,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,>= 95.0,*,*,34.0,109,8.7,28,321,20160519
2014,02,Anne Arundel,1122,Freetown Elementary,Elementary,>= 95.0,*,*,38.3,143,6.2,23,373,20160519
2014,02,Anne Arundel,1132,Glendale Elementary,Elementary,>= 95.0,*,*,36.4,102,<= 5.0,*,280,20160519
2014,02,Anne Arundel,1142,Hilltop Elementary,Elementary,>= 95.0,*,*,35.9,170,5.9,28,474,20160519
2014,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,49.6,184,<= 5.0,*,371,20160519
2014,02,Anne Arundel,1162,Marley Elementary,Elementary,>= 95.0,*,*,46.1,230,<= 5.0,*,499,20160519
2014,02,Anne Arundel,1172,North Glen Elementary,Elementary,94.5,18979.0,20093,36.7,65,10.2,18,177,20160519
2014,02,Anne Arundel,1182,Oakwood Elementary,Elementary,>= 95.0,*,*,44.7,93,<= 5.0,*,208,20160519
2014,02,Anne Arundel,1192,Overlook Elementary,Elementary,>= 95.0,*,*,39.1,95,5.3,13,243,20160519
2014,02,Anne Arundel,1202,Park Elementary,Elementary,94.3,39033.0,41399,36.0,128,13.2,47,356,20160519
2014,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,>= 95.0,*,*,34.6,144,8.7,36,416,20160519
2014,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,>= 95.0,*,*,36.9,109,<= 5.0,*,295,20160519
2014,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,>= 95.0,*,*,38.0,163,<= 5.0,*,429,20160519
2014,02,Anne Arundel,1262,Woodside Elementary,Elementary,>= 95.0,*,*,34.2,78,7.0,16,228,20160519
2014,02,Anne Arundel,1274,Marley Glen School,Elementary,92.0,1874.5,2037,11.1,2,27.8,5,18,20160519
2014,02,Anne Arundel,1274,Marley Glen School,Middle,*,*,*,*,*,*,*,*,20160519
2014,02,Anne Arundel,1274,Marley Glen School,High,93.3,2291.5,2457,52.4,11,23.8,5,21,20160519
2014,02,Anne Arundel,1323,North County High,High,91.9,200277.0,218026,31.4,580,21.3,394,1847,20160519
2014,02,Anne Arundel,2013,Severna Park High,High,>= 95.0,*,*,40.4,746,5.7,106,1848,20160519
2014,02,Anne Arundel,2023,Northeast High,High,93.6,146336.5,156271,35.5,471,14.2,188,1327,20160519
2014,02,Anne Arundel,2033,George Fox Middle,Middle,93.8,101472.0,108153,32.4,297,11.7,107,917,20160519
2014,02,Anne Arundel,2043,Severna Park Middle,Middle,>= 95.0,*,*,54.1,778,<= 5.0,*,1439,20160519
2014,02,Anne Arundel,2052,Arnold Elementary,Elementary,>= 95.0,*,*,45.2,163,<= 5.0,*,361,20160519
2014,02,Anne Arundel,2062,Belvedere Elementary,Elementary,>= 95.0,*,*,48.9,172,<= 5.0,*,352,20160519
2014,02,Anne Arundel,2072,Benfield Elementary,Elementary,>= 95.0,*,*,51.7,209,<= 5.0,*,404,20160519
2014,02,Anne Arundel,2082,Bodkin Elementary,Elementary,>= 95.0,*,*,41.7,206,<= 5.0,*,494,20160519
2014,02,Anne Arundel,2092,Cape St. Claire Elementary,Elementary,>= 95.0,*,*,39.5,223,<= 5.0,*,564,20160519
2014,02,Anne Arundel,2102,Folger Mckinsey Elementary,Elementary,>= 95.0,*,*,50.2,244,<= 5.0,*,486,20160519
2014,02,Anne Arundel,2112,Fort Smallwood Elementary,Elementary,>= 95.0,*,*,40.1,124,<= 5.0,*,309,20160519
2014,02,Anne Arundel,2132,High Point Elementary,Elementary,>= 95.0,*,*,36.6,192,5.5,29,525,20160519
2014,02,Anne Arundel,2142,Jacobsville Elementary,Elementary,>= 95.0,*,*,37.2,175,<= 5.0,*,470,20160519
2014,02,Anne Arundel,2152,Jones Elementary,Elementary,>= 95.0,*,*,56.3,151,<= 5.0,*,268,20160519
2014,02,Anne Arundel,2162,Lake Shore Elementary,Elementary,>= 95.0,*,*,42.9,111,<= 5.0,*,259,20160519
2014,02,Anne Arundel,2172,Oak Hill Elementary,Elementary,>= 95.0,*,*,48.5,242,<= 5.0,*,499,20160519
2014,02,Anne Arundel,2182,Pasadena Elementary,Elementary,>= 95.0,*,*,43.7,128,<= 5.0,*,293,20160519
2014,02,Anne Arundel,2192,Riviera Beach Elementary,Elementary,94.8,27485.0,29007,30.2,74,9.8,24,245,20160519
2014,02,Anne Arundel,2202,Severna Park Elementary,Elementary,>= 95.0,*,*,43.2,136,<= 5.0,*,315,20160519
2014,02,Anne Arundel,2212,Solley Elementary,Elementary,>= 95.0,*,*,38.3,212,<= 5.0,*,554,20160519
2014,02,Anne Arundel,2222,Sunset Elementary,Elementary,>= 95.0,*,*,35.2,134,5.2,20,381,20160519
2014,02,Anne Arundel,2233,Anne Arundel Evening High,High,88.7,12882.0,14525,18.9,20,13.2,14,106,20160519
2014,02,Anne Arundel,2243,Magothy River Middle,Middle,>= 95.0,*,*,42.2,296,<= 5.0,*,702,20160519
2014,02,Anne Arundel,2273,Chesapeake High,High,93.6,164509.0,175713,30.6,456,13.3,198,1492,20160519
2014,02,Anne Arundel,2322,Broadneck Elementary,Elementary,>= 95.0,*,*,44.5,274,<= 5.0,*,616,20160519
2014,02,Anne Arundel,2363,Broadneck High,High,94.9,235280.0,247969,36.3,767,11.1,235,2111,20160519
2014,02,Anne Arundel,2372,Windsor Farm Elementary,Elementary,>= 95.0,*,*,40.8,216,<= 5.0,*,530,20160519
2014,02,Anne Arundel,2413,Severn River Middle,Middle,>= 95.0,*,*,42.3,331,<= 5.0,*,782,20160519
2014,02,Anne Arundel,2423,Chesapeake Bay Middle,Middle,94.9,117289.5,123561,30.0,317,10.4,110,1057,20160519
2014,02,Anne Arundel,2432,Shipley's Choice Elementary,Elementary,>= 95.0,*,*,52.3,174,<= 5.0,*,333,20160519
2014,02,Anne Arundel,3013,Arundel High,High,94.3,216191.0,229289,36.0,705,11.9,233,1957,20160519
2014,02,Anne Arundel,3023,Arundel Middle,Middle,>= 95.0,*,*,42.8,369,7.4,64,863,20160519
2014,02,Anne Arundel,3033,MacArthur Middle,Middle,>= 95.0,*,*,45.7,451,5.5,54,987,20160519
2014,02,Anne Arundel,3062,Brock Bridge Elementary,Elementary,>= 95.0,*,*,46.3,270,<= 5.0,*,583,20160519
2014,02,Anne Arundel,3072,Crofton Elementary,Elementary,>= 95.0,*,*,45.6,215,<= 5.0,*,471,20160519
2014,02,Anne Arundel,3082,Crofton Woods Elementary,Elementary,>= 95.0,*,*,41.3,210,<= 5.0,*,508,20160519
2014,02,Anne Arundel,3092,Seven Oaks Elementary,Elementary,>= 95.0,*,*,54.0,289,<= 5.0,*,535,20160519
2014,02,Anne Arundel,3102,Hebron - Harman Elementary,Elementary,>= 95.0,*,*,41.6,244,8.5,50,587,20160519
2014,02,Anne Arundel,3112,Jessup Elementary,Elementary,>= 95.0,*,*,32.5,123,7.1,27,378,20160519
2014,02,Anne Arundel,3122,Manor View Elementary,Elementary,>= 95.0,*,*,39.2,120,<= 5.0,*,306,20160519
2014,02,Anne Arundel,3132,Maryland City Elementary,Elementary,>= 95.0,*,*,43.0,142,<= 5.0,*,330,20160519
2014,02,Anne Arundel,3142,Meade Heights Elementary,Elementary,>= 95.0,*,*,42.7,85,8.0,16,199,20160519
2014,02,Anne Arundel,3152,Van Bokkelen Elementary,Elementary,94.5,35194.0,37229,31.5,99,15.0,47,314,20160519
2014,02,Anne Arundel,3162,Millersville Elementary,Elementary,>= 95.0,*,*,42.3,140,<= 5.0,*,331,20160519
2014,02,Anne Arundel,3172,Odenton Elementary,Elementary,>= 95.0,*,*,43.0,128,<= 5.0,*,298,20160519
2014,02,Anne Arundel,3182,Pershing Hill Elementary,Elementary,>= 95.0,*,*,39.8,253,5.2,33,635,20160519
2014,02,Anne Arundel,3192,Ridgeway Elementary,Elementary,>= 95.0,*,*,47.8,227,<= 5.0,*,475,20160519
