Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Chronic Absentee Cnt,Chronic Absentee Denom,Chronic Absentee Pct,Create Date
2019,30,Baltimore City,0142,Robert W. Coleman Elementary,Elementary,84.1,27286.0,32461,<= 5.0,*,65.7,153,233,219,289,75.8,20200117
2019,30,Baltimore City,0144,James Mosher Elementary,Elementary,87.1,20993.0,24100,6.5,11,49.1,83,169,162,267,60.7,20200117
2019,30,Baltimore City,0145,Alexander Hamilton Elementary,Elementary,88.7,14995.0,16912,7.4,9,47.5,58,122,100,178,56.2,20200117
2019,30,Baltimore City,0150,Mary Ann Winterling Elementary at Bentalou,Elementary,90.5,23309.0,25744,16.6,31,29.4,55,187,93,235,39.6,20200117
2019,30,Baltimore City,0159,Cherry Hill Elementary/Middle,Elementary,88.7,40743.0,45936,9.6,32,42.8,142,332,211,380,55.5,20200117
2019,30,Baltimore City,0159,Cherry Hill Elementary/Middle,Middle,87.3,38850.5,44512,7.2,23,46.9,149,318,203,361,56.2,20200117
2019,30,Baltimore City,0159,Cherry Hill Elementary/Middle,All Students,88.0,79593.5,90448,8.5,55,44.8,291,650,414,741,55.9,20200117
2019,30,Baltimore City,0164,Arundel Elementary,Elementary,89.4,27635.0,30904,11.8,26,44.5,98,220,227,429,52.9,20200117
2019,30,Baltimore City,0177,George W. F. McMechen High,High,89.4,5773.0,6460,23.4,11,42.6,20,47,25,50,50.0,20200117
2019,30,Baltimore City,0178,Excel Academy at Francis M. Wood High,Middle,20.8,1300.0,6249,<= 5.0,*,>= 95.0,*,42,*,*,>= 95.0,20200117
2019,30,Baltimore City,0178,Excel Academy at Francis M. Wood High,High,28.8,21838.0,75888,<= 5.0,*,>= 95.0,*,557,*,*,>= 95.0,20200117
2019,30,Baltimore City,0178,Excel Academy at Francis M. Wood High,All Students,28.2,23138.0,82137,<= 5.0,*,>= 95.0,*,599,*,*,>= 95.0,20200117
2019,30,Baltimore City,0201,Dickey Hill Elementary/Middle,Elementary,91.5,24725.0,27011,18.4,36,28.6,56,196,95,260,36.5,20200117
2019,30,Baltimore City,0201,Dickey Hill Elementary/Middle,Middle,89.6,16714.0,18663,14.5,20,24.6,34,138,55,156,35.3,20200117
2019,30,Baltimore City,0201,Dickey Hill Elementary/Middle,All Students,90.7,41439.0,45674,16.8,56,26.9,90,334,150,416,36.1,20200117
2019,30,Baltimore City,0203,Maree Garnett Farring Elementary/Middle,Elementary,91.7,50155.0,54665,22.0,87,24.8,98,395,188,534,35.2,20200117
2019,30,Baltimore City,0203,Maree Garnett Farring Elementary/Middle,Middle,90.9,28964.5,31863,27.4,65,28.3,67,237,90,255,35.3,20200117
2019,30,Baltimore City,0203,Maree Garnett Farring Elementary/Middle,All Students,91.4,79119.5,86528,24.1,152,26.1,165,632,278,789,35.2,20200117
2019,30,Baltimore City,0204,Mary E. Rodman Elementary,Elementary,90.0,25635.0,28484,20.2,41,30.5,62,203,115,273,42.1,20200117
2019,30,Baltimore City,0205,Woodhome Elementary/Middle,Elementary,92.5,25960.0,28055,23.2,47,15.3,31,203,68,264,25.8,20200117
