Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Mobility Pct,Mobility Cnt,Entrants Pct,Entrants Cnt,Withdrawals Pct,Withdrawals Cnt,Avg Daily Member Cnt,Create Date
2016,1,Allegany,301,Flintstone Elementary,Elementary,11.8,26,6.8,15,<= 5.0,*,221.1,20161017
2016,1,Allegany,401,South Penn Elementary,Elementary,19,85,12.8,57,6.3,28,446.3,20161017
2016,1,Allegany,402,John Humbird Elementary,Elementary,36.4,91,16,40,20.4,51,249.8,20161017
2016,1,Allegany,405,Fort Hill High,High,16.3,125,5.9,45,10.5,80,765.3,20161017
2016,1,Allegany,406,Washington Middle,Middle,15.7,97,6.1,38,9.5,59,619.2,20161017
2016,1,Allegany,502,Northeast Elementary,Elementary,19.6,55,7.8,22,11.8,33,280.3,20161017
2016,1,Allegany,504,Braddock Middle,Middle,10.6,64,5.5,33,5.1,31,604.4,20161017
2016,1,Allegany,601,Center for Career & Technical Education,High,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20161017
2016,1,Allegany,603,West Side Elementary,Elementary,16.6,62,9.9,37,6.7,25,373.4,20161017
2016,1,Allegany,606,Allegany High,High,14,92,<= 5.0,*,9,59,657.1,20161017
2016,1,Allegany,701,Cresaptown Elementary,Elementary,17.4,56,8.4,27,9,29,321,20161017
2016,1,Allegany,702,Bel Air Elementary,Elementary,16.9,36,8.9,19,8,17,212.5,20161017
2016,1,Allegany,801,Westernport Elementary,Elementary,18.1,45,11.7,29,6.4,16,248.8,20161017
2016,1,Allegany,802,Westmar Middle,Middle,8.2,23,<= 5.0,*,<= 5.0,*,279.2,20161017
2016,1,Allegany,1001,George's Creek Elementary,Elementary,13.3,36,5.9,16,7.4,20,270.8,20161017
2016,1,Allegany,1101,Frost Elementary,Elementary,9.3,21,<= 5.0,*,5.8,13,225.3,20161017
2016,1,Allegany,1301,Mount Savage Middle,Middle,<= 5.0,*,<= 5.0,*,<= 5.0,*,*,20161017
2016,1,Allegany,1302,Mt. Savage Elementary,Elementary,12.4,23,<= 5.0,*,8.1,15,184.9,20161017
2016,1,Allegany,2404,Mountain Ridge High School,High,9.6,79,<= 5.0,*,5.5,45,820.1,20161017
2016,1,Allegany,2801,Beall Elementary,Elementary,10.5,40,<= 5.0,*,5.8,22,379.7,20161017
2016,1,Allegany,2901,Cash Valley Elementary,Elementary,20.6,51,9.7,24,10.9,27,247.7,20161017
2016,1,Allegany,2902,Parkside Elementary,Elementary,14,27,6.7,13,7.2,14,193.1,20161017
2016,1,Allegany,A,All Allegany Schools,Elementary,17,654,8.6,333,8.3,321,3854.6,20161017
2016,1,Allegany,A,All Allegany Schools,Middle,10.6,202,<= 5.0,*,5.9,112,1899.8,20161017
