Academic Year,LSS Number,LSS Name,School Number,School Name,School Type,Mobility Rate,Mobility Count,Entrants Rate,Entrants Count,Withdrawals Rate,Withdrawals Count,Avg Daily Member Count,Create Date
2019,30,Baltimore City,381,Monarch Academy Public Charter School,Elementary,25.4,155,9,55,16.4,100,610.9,20200117
2019,30,Baltimore City,381,Monarch Academy Public Charter School,Middle,21.8,70,8.4,27,13.4,43,320.4,20200117
2019,30,Baltimore City,381,Monarch Academy Public Charter School,All,24.2,225,8.8,82,15.4,143,931.3,20200117
2019,30,Baltimore City,382,Baltimore Design School,Middle,13.4,29,<= 5.0,*,10.2,22,216.3,20200117
2019,30,Baltimore City,382,Baltimore Design School,All,9.1,45,<= 5.0,*,6.9,34,494.6,20200117
2019,30,Baltimore City,382,Baltimore Design School,High,5.8,16,<= 5.0,*,<= 5.0,*,278.3,20200117
2019,30,Baltimore City,384,Creative City Public Charter School,Elementary,19.2,60,<= 5.0,*,14.4,45,312.2,20200117
2019,30,Baltimore City,400,Edmondson-Westside High,High,27.4,229,10.7,89,16.8,140,835,20200117
2019,30,Baltimore City,403,Baltimore Polytechnic Institute,High,6.8,103,<= 5.0,*,<= 5.0,*,1525.6,20200117
2019,30,Baltimore City,405,Patterson High,High,52.5,541,29.8,307,22.7,234,1030.4,20200117
2019,30,Baltimore City,406,Forest Park High,High,49,290,27.4,162,21.6,128,591.4,20200117
2019,30,Baltimore City,407,Western High,High,9.3,97,<= 5.0,*,5.9,61,1040.1,20200117
2019,30,Baltimore City,410,Mergenthaler Vocational-Technical High,High,20.4,330,7.3,118,13.1,212,1616.3,20200117
2019,30,Baltimore City,413,Achievement Academy at Harbor City High,High,>= 95.0,*,81.6,313,37,142,383.8,20200117
2019,30,Baltimore City,414,Paul Laurence Dunbar High,High,15.9,133,6.3,53,9.6,80,837.2,20200117
2019,30,Baltimore City,415,Baltimore School for the Arts,High,7.6,32,<= 5.0,*,5.5,23,420.4,20200117
2019,30,Baltimore City,416,Digital Harbor High School,High,31,340,9.5,104,21.5,236,1095.1,20200117
2019,30,Baltimore City,419,Reginald F. Lewis High,High,65.2,324,28.2,140,37,184,497.1,20200117
2019,30,Baltimore City,421,National Academy Foundation,Middle,47.9,103,24.7,53,23.3,50,215,20200117
2019,30,Baltimore City,421,National Academy Foundation,High,42.8,236,19.6,108,23.2,128,552,20200117
2019,30,Baltimore City,421,National Academy Foundation,All,44.2,339,21,161,23.2,178,767,20200117
2019,30,Baltimore City,422,New Era Academy,High,67.7,191,33.7,95,34,96,282.2,20200117
2019,30,Baltimore City,427,Academy for College and Career Exploration,Middle,88,96,48.6,53,39.4,43,109.1,20200117
2019,30,Baltimore City,427,Academy for College and Career Exploration,High,65.5,265,32.6,132,32.9,133,404.4,20200117
2019,30,Baltimore City,427,Academy for College and Career Exploration,All,70.3,361,36,185,34.3,176,513.5,20200117
2019,30,Baltimore City,429,Vivien T. Thomas Medical Arts Academy,High,49.1,171,19.5,68,29.6,103,348.5,20200117
2019,30,Baltimore City,430,Augusta Fells Savage Institute of Visual Arts,High,46.3,183,19.2,76,27.1,107,395.4,20200117
2019,30,Baltimore City,432,Coppin Academy,High,13.6,45,<= 5.0,*,10,33,330.2,20200117
2019,30,Baltimore City,433,Renaissance Academy,High,>= 95.0,*,59.3,134,58.4,132,226,20200117
2019,30,Baltimore City,450,Frederick Douglass High,High,46.7,370,20.4,162,26.2,208,792.8,20200117
2019,30,Baltimore City,454,Carver Vocational-Technical High,High,31.3,256,11.1,91,20.2,165,816.9,20200117
2019,30,Baltimore City,480,Baltimore City College,High,10,127,<= 5.0,*,8.3,105,1267.4,20200117
2019,30,Baltimore City,884,Eager Street Academy,High,>= 95.0,*,>= 95.0,*,>= 95.0,*,*,20200117
2019,30,Baltimore City,A,All Baltimore City Schools,Elementary,28.8,10619,15,5546,13.7,5073,36927.5,20200117
2019,30,Baltimore City,A,All Baltimore City Schools,Middle,26.5,4509,13.5,2298,13,2211,17003.8,20200117
2019,30,Baltimore City,A,All Baltimore City Schools,High,34.6,6766,16.2,3165,18.4,3601,19578.8,20200117
2019,30,Baltimore City,A,All Baltimore City Schools,All,29.8,21894,15,11009,14.8,10885,73510.1,20200117
2019,32,SEED,1000,The Seed School of Maryland,Middle,22.3,51,12.7,29,9.6,22,228.7,20200117
2019,32,SEED,1000,The Seed School of Maryland,High,5.6,9,<= 5.0,*,5.6,9,160.2,20200117
2019,32,SEED,1000,The Seed School of Maryland,All,15.4,60,7.5,29,8,31,388.9,20200117
2019,32,SEED,A,All SEED Schools,Middle,22.3,51,12.7,29,9.6,22,228.7,20200117
2019,32,SEED,A,All SEED Schools,All,15.4,60,7.5,29,8,31,388.9,20200117
2019,32,SEED,A,All SEED Schools,High,5.6,9,<= 5.0,*,5.6,9,160.2,20200117
2019,A,All Public Schools,A,All Maryland Schools,Elementary,17.9,72190,10.1,40719,7.8,31471,403878.1,20200117
2019,A,All Public Schools,A,All Maryland Schools,Middle,15.5,31319,8.5,17220,7,14099,202396.6,20200117
2019,A,All Public Schools,A,All Maryland Schools,High,17.2,44638,8.8,22783,8.4,21855,259221.2,20200117
2019,A,All Public Schools,A,All Maryland Schools,All,17.1,148147,9.3,80722,7.8,67425,865495.9,20200117
