Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2013,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,38.8,62,<= 5.0,*,160,20160519
2013,01,Allegany,0401,South Penn Elementary,Elementary,94.6,39932.5,42197,27.5,96,8.9,31,349,20160519
2013,01,Allegany,0402,John Humbird Elementary,Elementary,94.6,23900.5,25267,27.6,58,7.1,15,210,20160519
2013,01,Allegany,0405,Fort Hill High,High,92.6,81573.0,88085,23.4,168,14.9,107,717,20160519
2013,01,Allegany,0406,Washington Middle,Middle,94.1,74536.5,79241,26.3,171,12.9,84,650,20160519
2013,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,29.1,73,<= 5.0,*,251,20160519
2013,01,Allegany,0504,Braddock Middle,Middle,>= 95.0,*,*,32.6,184,<= 5.0,*,564,20160519
2013,01,Allegany,0601,Center for Career & Technology Education,High,92.6,33018.5,35675,18.1,53,19.1,56,293,20160519
2013,01,Allegany,0602,Allegany County Evening High School,High,82.0,841.5,1026,<= 5.0,*,63.6,7,11,20160519
2013,01,Allegany,0603,West Side Elementary,Elementary,>= 95.0,*,*,34.7,86,<= 5.0,*,248,20160519
2013,01,Allegany,0606,Allegany High,High,93.9,77680.5,82715,27.5,186,11.7,79,676,20160519
2013,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,32.1,89,<= 5.0,*,277,20160519
2013,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,34.9,53,8.6,13,152,20160519
2013,01,Allegany,0801,Westernport Elementary,Elementary,94.6,22722.0,24022,23.4,47,<= 5.0,*,201,20160519
2013,01,Allegany,0802,Westmar Middle,Middle,94.4,29637.0,31396,27.5,72,7.6,20,262,20160519
2013,01,Allegany,1001,George's Creek Elementary,Elementary,>= 95.0,*,*,32.2,75,<= 5.0,*,233,20160519
2013,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,39.6,72,<= 5.0,*,182,20160519
2013,01,Allegany,1301,Mount Savage Middle,Middle,94.9,44235.5,46629,28.6,112,<= 5.0,*,392,20160519
2013,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,35.7,60,5.4,9,168,20160519
2013,01,Allegany,2401,Eckhart Alternative School,Middle,81.5,2187.5,2685,<= 5.0,*,52.2,12,23,20160519
2013,01,Allegany,2401,Eckhart Alternative School,High,72.6,4076.5,5612,<= 5.0,*,71.4,30,42,20160519
2013,01,Allegany,2404,Mountain Ridge High School,High,93.0,95290.0,102438,22.4,192,13.4,115,856,20160519
2013,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,31.0,84,<= 5.0,*,271,20160519
2013,01,Allegany,2901,Cash Valley Elementary,Elementary,>= 95.0,*,*,35.8,86,7.9,19,240,20160519
2013,01,Allegany,2902,Parkside Elementary,Elementary,94.7,24034.0,25391,23.5,50,6.6,14,213,20160519
2013,01,Allegany,5556,Transition Program at Cumberland,High,91.0,2540.0,2791,27.3,6,31.8,7,22,20160519
2013,01,Allegany,7777,Allegany County Home & Hospital,Elementary,*,*,*,*,*,*,*,*,20160519
2013,01,Allegany,7777,Allegany County Home & Hospital,Middle,*,*,*,*,*,*,*,*,20160519
2013,01,Allegany,7777,Allegany County Home & Hospital,High,*,*,*,*,*,*,*,*,20160519
2013,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,31.1,985,5.6,177,3167,20160519
2013,01,Allegany,A,All Allegany Schools,Middle,94.4,216456.5,229308,28.3,539,9.4,179,1902,20160519
2013,01,Allegany,A,All Allegany Schools,High,92.7,295996.5,319366,22.9,604,16.6,439,2643,20160519
2013,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,94.1,66680.5,70891,31.9,190,13.8,82,595,20160519
2013,02,Anne Arundel,1033,Glen Burnie High,High,90.5,208092.5,229947,25.9,488,23.6,446,1886,20160519
2013,02,Anne Arundel,1043,Corkran Middle School,Middle,94.4,63361.0,67090,35.6,199,11.6,65,559,20160519
2013,02,Anne Arundel,1053,Lindale Middle,Middle,93.9,87054.5,92727,29.3,228,14.2,110,777,20160519
2013,02,Anne Arundel,1063,Marley Middle,Middle,93.7,84438.5,90124,28.1,212,14.4,109,755,20160519
2013,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,93.3,17889.0,19171,27.6,43,12.8,20,156,20160519
2013,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,94.2,33534.5,35591,28.0,85,13.8,42,304,20160519
2013,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,>= 95.0,*,*,31.6,91,6.6,19,288,20160519
2013,02,Anne Arundel,1122,Freetown Elementary,Elementary,>= 95.0,*,*,43.8,170,5.2,20,388,20160519
2013,02,Anne Arundel,1132,Glendale Elementary,Elementary,94.4,34947.5,37011,33.0,104,8.9,28,315,20160519
2013,02,Anne Arundel,1142,Hilltop Elementary,Elementary,>= 95.0,*,*,35.1,154,<= 5.0,*,439,20160519
2013,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,39.4,141,<= 5.0,*,358,20160519
2013,02,Anne Arundel,1162,Marley Elementary,Elementary,>= 95.0,*,*,39.7,175,5.7,25,441,20160519
2013,02,Anne Arundel,1172,North Glen Elementary,Elementary,94.4,19823.5,21007,37.3,66,12.4,22,177,20160519
2013,02,Anne Arundel,1182,Oakwood Elementary,Elementary,>= 95.0,*,*,36.5,77,<= 5.0,*,211,20160519
2013,02,Anne Arundel,1192,Overlook Elementary,Elementary,>= 95.0,*,*,32.4,67,<= 5.0,*,207,20160519
2013,02,Anne Arundel,1202,Park Elementary,Elementary,94.7,37810.5,39937,36.2,123,8.8,30,340,20160519
2013,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,94.5,44215.5,46783,30.9,122,7.3,29,395,20160519
2013,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,>= 95.0,*,*,42.2,122,<= 5.0,*,289,20160519
2013,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,>= 95.0,*,*,38.7,157,5.7,23,406,20160519
2013,02,Anne Arundel,1262,Woodside Elementary,Elementary,>= 95.0,*,*,38.7,86,7.7,17,222,20160519
2013,02,Anne Arundel,1274,Marley Glen School,Elementary,87.0,1907.0,2191,16.7,3,38.9,7,18,20160519
2013,02,Anne Arundel,1274,Marley Glen School,Middle,*,*,*,*,*,*,*,*,20160519
2013,02,Anne Arundel,1274,Marley Glen School,High,92.3,2952.0,3197,48.1,13,18.5,5,27,20160519
2013,02,Anne Arundel,1323,North County High,High,91.6,203469.0,222171,29.0,536,19.8,365,1848,20160519
