Year,LSS Number,LSS Name,School Number,School Name,Star Rating,Total Points Earned Percentage,Percentile Rank Elementary,Percentile Rank Middle,Percentile Rank High
2019,2,Anne Arundel,3182,Pershing Hill Elementary,4,73,79,na,na
2019,2,Anne Arundel,3192,Ridgeway Elementary,4,62,47,na,na
2019,2,Anne Arundel,3202,Severn Elementary,4,67,63,na,na
2019,2,Anne Arundel,3212,South Shore Elementary,5,75,84,na,na
2019,2,Anne Arundel,3222,Waugh Chapel Elementary,5,75,86,na,na
2019,2,Anne Arundel,3242,Piney Orchard Elementary,5,77,88,na,na
2019,2,Anne Arundel,3263,Crofton Middle,4,69,na,85,na
2019,2,Anne Arundel,3272,Four Seasons Elementary,5,77,90,na,na
2019,2,Anne Arundel,3282,Nantucket Elementary,4,71,75,na,na
2019,2,Anne Arundel,3323,Meade High,3,53,na,na,33
2019,2,Anne Arundel,3333,Old Mill Middle North,3,49,na,37,na
2019,2,Anne Arundel,3343,Old Mill Middle South,3,59,na,62,na
2019,2,Anne Arundel,3353,Old Mill High,3,59,na,na,47
2019,2,Anne Arundel,3362,Crofton Meadows Elementary,4,65,58,na,na
2019,2,Anne Arundel,3372,Glen Burnie Park Elementary,3,54,23,na,na
2019,2,Anne Arundel,3382,Southgate Elementary,4,63,52,na,na
2019,2,Anne Arundel,3392,Rippling Woods Elementary,3,58,35,na,na
2019,2,Anne Arundel,3423,Meade Middle,3,48,na,34,na
2019,2,Anne Arundel,4013,Annapolis High,3,56,na,na,38
2019,2,Anne Arundel,4023,Southern High,4,67,na,na,67
2019,2,Anne Arundel,4033,Annapolis Middle,2,43,na,21,na
2019,2,Anne Arundel,4043,Wiley H. Bates Middle,3,54,na,50,na
2019,2,Anne Arundel,4053,Southern Middle,3,55,na,54,na
2019,2,Anne Arundel,4074,Phoenix Academy,2,38,12,5,7
2019,2,Anne Arundel,4092,Annapolis Elementary,3,57,31,na,na
2019,2,Anne Arundel,4112,Central Elementary,4,71,75,na,na
2019,2,Anne Arundel,4122,Davidsonville Elementary,4,74,84,na,na
2019,2,Anne Arundel,4132,Deale Elementary,4,69,71,na,na
2019,2,Anne Arundel,4142,Eastport Elementary,3,53,20,na,na
2019,2,Anne Arundel,4152,Edgewater Elementary,4,69,69,na,na
2019,2,Anne Arundel,4162,Georgetown East Elementary,3,54,24,na,na
2019,2,Anne Arundel,4182,Germantown Elementary,4,62,49,na,na
2019,2,Anne Arundel,4192,Hillsmere Elementary,4,74,84,na,na
2019,2,Anne Arundel,4202,Lothian Elementary,4,63,53,na,na
2019,2,Anne Arundel,4212,Mayo Elementary,4,71,76,na,na
2019,2,Anne Arundel,4222,Walter S. Mills - Parole Elementary,4,60,43,na,na
2019,2,Anne Arundel,4232,Rolling Knolls Elementary,5,78,91,na,na
2019,2,Anne Arundel,4242,Shady Side Elementary,4,65,57,na,na
2019,2,Anne Arundel,4252,Tracey's Elementary,3,53,22,na,na
2019,2,Anne Arundel,4262,Tyler Heights Elementary,3,57,32,na,na
2019,2,Anne Arundel,4272,West Annapolis Elementary,5,86,99,na,na
2019,2,Anne Arundel,4283,Central Middle,4,69,na,86,na
2019,2,Anne Arundel,4293,South River High,4,72,na,na,77
2019,2,Anne Arundel,6113,Monarch Global Academy PCS Laurel Campus,4,63,47,74,na
2019,2,Anne Arundel,6123,Monarch Academy Annapolis ES,3,52,19,na,na
2019,2,Anne Arundel,6223,Chesapeake Science Point,5,78,na,99,90
2019,2,Anne Arundel,6233,Monarch Academy,4,65,54,79,na
2019,3,Baltimore County,101,Catonsville Elementary,4,64,56,na,na
2019,3,Baltimore County,102,Westchester Elementary,4,74,84,na,na
2019,3,Baltimore County,103,Westowne Elementary,3,59,37,na,na
2019,3,Baltimore County,104,Edmondson Heights Elementary,3,50,15,na,na
2019,3,Baltimore County,105,Johnnycake Elementary,4,62,48,na,na
2019,3,Baltimore County,112,Dogwood Elementary,3,54,23,na,na
2019,3,Baltimore County,113,Chadwick Elementary,4,63,51,na,na
2019,3,Baltimore County,115,Hillcrest Elementary,5,79,94,na,na
2019,3,Baltimore County,116,Woodbridge Elementary,4,62,47,na,na
2019,3,Baltimore County,151,Catonsville Middle,3,58,na,59,na
2019,3,Baltimore County,155,Southwest Academy,2,43,na,20,na
2019,3,Baltimore County,172,Woodlawn High Center for Pre-Eng. Res.,2,37,na,na,11
2019,3,Baltimore County,174,Catonsville High,4,64,na,na,61
2019,3,Baltimore County,175,Western School of Technology & Env. Science,5,87,na,na,99
2019,3,Baltimore County,202,Randallstown Elementary,3,56,27,na,na
2019,3,Baltimore County,204,Featherbed Lane Elementary,2,44,7,na,na
