Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2010,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,39.4,71,7.2,13,180,20120820
2010,01,Allegany,0401,South Penn Elementary,Elementary,94.8,42301.5,44625,30.2,107,6.8,24,354,20120820
2010,01,Allegany,0402,John Humbird Elementary,Elementary,94.3,27882.5,29554,25.4,60,10.6,25,236,20120820
2010,01,Allegany,0405,Fort Hill High,High,91.1,105858.0,116243,20.3,187,23.8,219,919,20120820
2010,01,Allegany,0406,Washington Middle,Middle,93.1,74245.0,79741,27.8,179,15.0,97,645,20120820
2010,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,31.2,84,<= 5.0,*,269,20120820
2010,01,Allegany,0504,Braddock Middle,Middle,93.3,72417.5,77641,24.0,148,14.1,87,616,20120820
2010,01,Allegany,0602,Allegany County Evening High School,High,*,*,*,*,*,*,*,*,20120820
2010,01,Allegany,0603,West Side Elementary,Elementary,>= 95.0,*,*,33.2,75,<= 5.0,*,226,20120820
2010,01,Allegany,0606,Allegany High,High,93.3,99669.0,106806,28.0,237,12.9,109,847,20120820
2010,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,31.5,87,<= 5.0,*,276,20120820
2010,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,36.3,66,<= 5.0,*,182,20120820
2010,01,Allegany,0801,Westernport Elementary,Elementary,94.3,23655.0,25096,25.2,51,8.9,18,202,20120820
2010,01,Allegany,0802,Westmar Middle,Middle,94.2,35765.5,37958,24.7,76,8.4,26,308,20120820
2010,01,Allegany,1001,George's Creek Elementary,Elementary,94.5,29934.0,31684,29.9,76,8.7,22,254,20120820
2010,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,37.1,72,<= 5.0,*,194,20120820
2010,01,Allegany,1301,Mount Savage Middle,Middle,94.8,51045.0,53832,32.7,142,7.1,31,434,20120820
2010,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,29.6,59,5.5,11,199,20120820
2010,01,Allegany,2404,Mountain Ridge High School,High,93.3,109407.5,117218,26.1,250,14.9,143,957,20120820
2010,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,32.0,78,<= 5.0,*,244,20120820
2010,01,Allegany,2901,Cash Valley Elementary,Elementary,94.7,24832.0,26235,35.2,74,7.1,15,210,20120820
2010,01,Allegany,2902,Parkside Elementary,Elementary,94.4,24541.0,25987,31.9,68,7.0,15,213,20120820
2010,01,Allegany,5556,Transition Program At Cumberland,High,92.6,1681.0,1816,21.4,3,21.4,3,14,20120820
2010,01,Allegany,5557,Transition Program At Friends Aware,High,*,*,*,*,*,*,*,*,20120820
2010,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,31.2,1014,6.1,197,3249,20120820
2010,01,Allegany,A,All Allegany Schools,Middle,93.7,233928.0,249627,26.9,540,12.2,246,2009,20120820
