Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2012,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,34.8,57,<= 5.0,*,164,20160519
2012,01,Allegany,0401,South Penn Elementary,Elementary,94.9,43091.0,45393,32.7,110,9.2,31,336,20160519
2012,01,Allegany,0402,John Humbird Elementary,Elementary,>= 95.0,*,*,32.5,68,7.2,15,209,20160519
2012,01,Allegany,0405,Fort Hill High,High,92.9,90089.0,97019,25.8,184,16.7,119,714,20160519
2012,01,Allegany,0406,Washington Middle,Middle,94.2,79071.5,83902,30.5,189,11.8,73,620,20160519
2012,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,35.0,90,5.1,13,257,20160519
2012,01,Allegany,0504,Braddock Middle,Middle,>= 95.0,*,*,34.3,195,5.3,30,569,20160519
2012,01,Allegany,0601,Center for Career & Technology Education,High,92.3,39979.0,43295,19.7,63,20.9,67,320,20160519
2012,01,Allegany,0602,Allegany County Evening High School,High,*,*,*,*,*,*,*,*,20160519
2012,01,Allegany,0603,West Side Elementary,Elementary,>= 95.0,*,*,35.8,95,<= 5.0,*,265,20160519
2012,01,Allegany,0606,Allegany High,High,>= 95.0,*,*,35.0,235,8.6,58,672,20160519
2012,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,35.4,96,<= 5.0,*,271,20160519
2012,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,37.6,59,7.0,11,157,20160519
2012,01,Allegany,0801,Westernport Elementary,Elementary,94.7,23347.0,24650,20.2,38,<= 5.0,*,188,20160519
2012,01,Allegany,0802,Westmar Middle,Middle,94.3,36478.0,38690,30.1,88,9.6,28,292,20160519
2012,01,Allegany,1001,George's Creek Elementary,Elementary,>= 95.0,*,*,36.2,81,<= 5.0,*,224,20160519
2012,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,44.9,84,<= 5.0,*,187,20160519
2012,01,Allegany,1301,Mount Savage Middle,Middle,>= 95.0,*,*,34.1,142,6.7,28,416,20160519
2012,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,35.4,64,<= 5.0,*,181,20160519
2012,01,Allegany,2401,Eckhart Alternative School,Middle,81.6,3140.5,3849,<= 5.0,*,65.5,19,29,20160519
2012,01,Allegany,2401,Eckhart Alternative School,High,81.7,8208.5,10050,5.6,4,66.7,48,72,20160519
2012,01,Allegany,2404,Mountain Ridge High School,High,93.5,99730.5,106710,29.1,233,14.4,115,800,20160519
2012,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,33.6,97,6.6,19,289,20160519
2012,01,Allegany,2901,Cash Valley Elementary,Elementary,94.9,29673.0,31269,36.2,84,8.2,19,232,20160519
2012,01,Allegany,2902,Parkside Elementary,Elementary,>= 95.0,*,*,34.6,72,<= 5.0,*,208,20160519
2012,01,Allegany,5556,Transition Program at Cumberland,High,92.8,2737.0,2948,35.0,7,20.0,4,20,20160519
2012,01,Allegany,7777,Allegany County Home & Hospital,Elementary,*,*,*,*,*,*,*,*,20160519
2012,01,Allegany,7777,Allegany County Home & Hospital,Middle,*,*,*,*,*,*,*,*,20160519
2012,01,Allegany,7777,Allegany County Home & Hospital,High,*,*,*,*,*,*,*,*,20160519
2012,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,33.8,1078,5.8,185,3187,20160519
2012,01,Allegany,A,All Allegany Schools,Middle,94.6,244751.0,258698,31.7,614,10.3,199,1937,20160519
2012,01,Allegany,A,All Allegany Schools,High,93.2,328854.5,352935,27.4,722,17.5,462,2638,20160519
2012,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,93.7,61781.0,65907,32.4,161,14.3,71,497,20160519
2012,02,Anne Arundel,1033,Glen Burnie High,High,90.2,223537.0,247731,26.5,491,26.1,485,1855,20160519
2012,02,Anne Arundel,1043,Corkran Middle School,Middle,>= 95.0,*,*,35.7,213,8.9,53,597,20160519
2012,02,Anne Arundel,1053,Lindale Middle,Middle,94.5,94725.0,100261,31.4,241,13.7,105,767,20160519
2012,02,Anne Arundel,1063,Marley Middle,Middle,94.7,92768.0,97950,32.9,244,10.6,79,742,20160519
2012,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,93.8,18167.0,19372,23.5,35,10.1,15,149,20160519
2012,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,>= 95.0,*,*,40.7,121,7.7,23,297,20160519
2012,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,>= 95.0,*,*,36.7,95,<= 5.0,*,259,20160519
2012,02,Anne Arundel,1122,Freetown Elementary,Elementary,>= 95.0,*,*,43.7,167,<= 5.0,*,382,20160519
2012,02,Anne Arundel,1132,Glendale Elementary,Elementary,>= 95.0,*,*,43.9,130,8.1,24,296,20160519
2012,02,Anne Arundel,1142,Hilltop Elementary,Elementary,>= 95.0,*,*,39.8,177,6.5,29,445,20160519
2012,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,41.6,146,<= 5.0,*,351,20160519
2012,02,Anne Arundel,1162,Marley Elementary,Elementary,>= 95.0,*,*,40.4,164,<= 5.0,*,406,20160519
2012,02,Anne Arundel,1172,North Glen Elementary,Elementary,>= 95.0,*,*,51.5,84,<= 5.0,*,163,20160519
2012,02,Anne Arundel,1182,Oakwood Elementary,Elementary,>= 95.0,*,*,30.3,63,7.2,15,208,20160519
2012,02,Anne Arundel,1192,Overlook Elementary,Elementary,>= 95.0,*,*,32.0,65,7.4,15,203,20160519
2012,02,Anne Arundel,1202,Park Elementary,Elementary,94.8,36142.5,38141,37.6,108,12.2,35,287,20160519
2012,02,Anne Arundel,1212,Point Pleasant Elementary,Elementary,94.8,45535.5,48028,35.7,131,6.8,25,367,20160519
2012,02,Anne Arundel,1232,Quarterfield Elementary,Elementary,>= 95.0,*,*,43.6,129,<= 5.0,*,296,20160519
2012,02,Anne Arundel,1242,Richard Henry Lee Elementary,Elementary,>= 95.0,*,*,38.3,154,<= 5.0,*,402,20160519
2012,02,Anne Arundel,1262,Woodside Elementary,Elementary,>= 95.0,*,*,42.8,101,<= 5.0,*,236,20160519
2012,02,Anne Arundel,1274,Marley Glen School,Elementary,90.9,2024.5,2228,27.8,5,27.8,5,18,20160519
2012,02,Anne Arundel,1274,Marley Glen School,Middle,91.1,1187.5,1304,20.0,2,20.0,2,10,20160519
2012,02,Anne Arundel,1274,Marley Glen School,High,94.5,3166.0,3352,61.5,16,7.7,2,26,20160519
2012,02,Anne Arundel,1323,North County High,High,91.8,230454.5,251173,30.0,571,22.9,435,1903,20160519
2012,02,Anne Arundel,2013,Severna Park High,High,>= 95.0,*,*,38.6,724,5.5,104,1877,20160519
2012,02,Anne Arundel,2023,Northeast High,High,92.3,158829.5,171997,34.2,446,16.2,211,1306,20160519
2012,02,Anne Arundel,2033,George Fox Middle,Middle,94.7,113094.5,119417,35.4,321,10.3,93,906,20160519
2012,02,Anne Arundel,2043,Severna Park Middle,Middle,>= 95.0,*,*,54.7,783,<= 5.0,*,1432,20160519
2012,02,Anne Arundel,2052,Arnold Elementary,Elementary,>= 95.0,*,*,49.4,194,<= 5.0,*,393,20160519
