Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2017,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,32.0,64,<= 5.0,*,200,20180117
2017,01,Allegany,0401,South Penn Elementary,Elementary,93.9,44499.5,47391,21.9,83,11.1,42,379,20180117
2017,01,Allegany,0402,John Humbird Elementary,Elementary,93.5,22798.0,24395,23.2,44,13.2,25,190,20180117
2017,01,Allegany,0405,Fort Hill High,High,92.3,91351.0,99002,25.1,197,20.2,159,786,20180117
2017,01,Allegany,0406,Washington Middle,Middle,93.5,68397.5,73166,29.1,169,13.1,76,580,20180117
2017,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,37.4,88,<= 5.0,*,235,20180117
2017,01,Allegany,0504,Braddock Middle,Middle,93.7,68622.0,73221,28.6,165,13.7,79,576,20180117
2017,01,Allegany,0601,Center for Career & Technical Education,High,92.4,31261.0,33826,23.1,61,21.2,56,264,20180117
2017,01,Allegany,0603,West Side Elementary,Elementary,>= 95.0,*,*,32.7,96,<= 5.0,*,294,20180117
2017,01,Allegany,0606,Allegany High,High,93.3,78502.0,84117,25.5,168,12.9,85,660,20180117
2017,01,Allegany,0701,Cresaptown Elementary,Elementary,94.9,32277.5,34009,29.3,79,<= 5.0,*,270,20180117
2017,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,38.0,68,6.1,11,179,20180117
2017,01,Allegany,0801,Westernport Elementary,Elementary,94.3,25501.5,27031,32.1,68,10.4,22,212,20180117
2017,01,Allegany,0802,Westmar Middle,Middle,94.2,32966.5,35011,27.3,76,11.5,32,278,20180117
2017,01,Allegany,1001,George's Creek Elementary,Elementary,>= 95.0,*,*,33.2,75,8.4,19,226,20180117
2017,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,32.8,60,<= 5.0,*,183,20180117
2017,01,Allegany,1301,Mount Savage Middle,Middle,94.5,48810.0,51664,29.4,121,8.7,36,412,20180117
2017,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,40.3,58,5.6,8,144,20180117
2017,01,Allegany,2404,Mountain Ridge High School,High,92.8,89660.0,96648,21.7,166,17.4,133,766,20180117
2017,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,32.2,103,<= 5.0,*,320,20180117
2017,01,Allegany,2901,Cash Valley Elementary,Elementary,94.9,24319.0,25628,26.5,54,6.4,13,204,20180117
2017,01,Allegany,2902,Parkside Elementary,Elementary,94.6,20471.5,21645,23.7,41,8.7,15,173,20180117
2017,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,30.1,969,7.0,226,3220,20180117
2017,01,Allegany,A,All Allegany Schools,Middle,93.9,218796.0,233062,28.7,530,12.3,227,1849,20180117
2017,01,Allegany,A,All Allegany Schools,High,92.7,290774.0,313593,23.8,590,17.7,439,2479,20180117
2017,02,Anne Arundel,1023,Brooklyn Park Middle,Middle,94.0,83147.0,88417,31.0,213,12.5,86,688,20180117
2017,02,Anne Arundel,1033,Glen Burnie High,High,90.0,218127.5,242376,25.0,473,26.8,507,1894,20180117
2017,02,Anne Arundel,1043,Corkran Middle School,Middle,93.9,63702.5,67832,35.0,188,13.6,73,537,20180117
2017,02,Anne Arundel,1053,Lindale Middle,Middle,93.4,124919.5,133728,26.7,283,15.0,159,1061,20180117
2017,02,Anne Arundel,1063,Marley Middle,Middle,93.3,98938.0,105994,32.1,270,15.6,131,841,20180117
2017,02,Anne Arundel,1082,Belle Grove Elementary,Elementary,93.6,22830.5,24401,21.5,41,10.5,20,191,20180117
2017,02,Anne Arundel,1092,Brooklyn Park Elementary,Elementary,94.2,39694.5,42130,27.1,90,11.4,38,332,20180117
2017,02,Anne Arundel,1112,George T. Cromwell Elementary,Elementary,93.7,37221.5,39739,24.3,77,14.5,46,317,20180117
2017,02,Anne Arundel,1122,Freetown Elementary,Elementary,94.4,42030.0,44526,30.9,111,10.0,36,359,20180117
2017,02,Anne Arundel,1132,Glendale Elementary,Elementary,93.9,39307.5,41850,27.5,89,12.7,41,324,20180117
2017,02,Anne Arundel,1142,Hilltop Elementary,Elementary,94.5,64800.5,68604,27.6,148,10.6,57,536,20180117
2017,02,Anne Arundel,1152,Linthicum Elementary,Elementary,>= 95.0,*,*,34.6,132,<= 5.0,*,381,20180117
2017,02,Anne Arundel,1162,Marley Elementary,Elementary,94.8,73166.0,77163,36.2,219,9.1,55,605,20180117
