Academic Year,LEA Number,LEA Name,School Number,School Name,School Type,Attend Rate Pct,Days Attended Cnt,Days Member Cnt,Fewer 5 Pct,Fewer 5 Cnt,More 20 Pct,More 20 Cnt,More 90 Member Cnt,Create Date
2015,01,Allegany,0301,Flintstone Elementary,Elementary,>= 95.0,*,*,29.3,51,<= 5.0,*,174,20160519
2015,01,Allegany,0401,South Penn Elementary,Elementary,94.4,41871.5,44356,25.8,92,9.5,34,357,20160519
2015,01,Allegany,0402,John Humbird Elementary,Elementary,94.7,26512.5,27998,25.9,58,7.1,16,224,20160519
2015,01,Allegany,0405,Fort Hill High,High,93.1,88291.0,94864,26.9,207,15.5,119,769,20160519
2015,01,Allegany,0406,Washington Middle,Middle,93.8,77944.0,83076,25.9,172,11.4,76,665,20160519
2015,01,Allegany,0502,Northeast Elementary,Elementary,>= 95.0,*,*,32.0,74,<= 5.0,*,231,20160519
2015,01,Allegany,0504,Braddock Middle,Middle,94.4,66418.0,70367,26.8,151,10.1,57,563,20160519
2015,01,Allegany,0601,Center for Career & Technical Education,High,93.8,34120.0,36392,26.4,77,13.4,39,292,20160519
2015,01,Allegany,0603,West Side Elementary,Elementary,94.8,35206.5,37129,30.4,93,<= 5.0,*,306,20160519
2015,01,Allegany,0606,Allegany High,High,94.5,78199.0,82746,29.9,199,8.3,55,665,20160519
2015,01,Allegany,0701,Cresaptown Elementary,Elementary,>= 95.0,*,*,31.3,79,<= 5.0,*,252,20160519
2015,01,Allegany,0702,Bel Air Elementary,Elementary,>= 95.0,*,*,35.0,56,7.5,12,160,20160519
2015,01,Allegany,0801,Westernport Elementary,Elementary,93.8,22415.5,23898,21.9,44,8.0,16,201,20160519
2015,01,Allegany,0802,Westmar Middle,Middle,94.5,29547.5,31279,25.0,64,9.0,23,256,20160519
2015,01,Allegany,1001,George's Creek Elementary,Elementary,>= 95.0,*,*,32.2,74,5.7,13,230,20160519
2015,01,Allegany,1101,Frost Elementary,Elementary,>= 95.0,*,*,38.9,75,<= 5.0,*,193,20160519
2015,01,Allegany,1301,Mount Savage Middle,Middle,>= 95.0,*,*,31.7,121,5.8,22,382,20160519
2015,01,Allegany,1302,Mt. Savage Elementary,Elementary,>= 95.0,*,*,42.7,67,<= 5.0,*,157,20160519
2015,01,Allegany,2404,Mountain Ridge High School,High,93.3,97423.5,104372,26.5,225,13.2,112,850,20160519
2015,01,Allegany,2801,Beall Elementary,Elementary,>= 95.0,*,*,34.8,105,<= 5.0,*,302,20160519
2015,01,Allegany,2901,Cash Valley Elementary,Elementary,>= 95.0,*,*,35.9,78,<= 5.0,*,217,20160519
2015,01,Allegany,2902,Parkside Elementary,Elementary,94.4,21454.5,22736,24.4,44,8.9,16,180,20160519
2015,01,Allegany,A,All Allegany Schools,Elementary,>= 95.0,*,*,30.5,975,5.7,181,3200,20160519
2015,01,Allegany,A,All Allegany Schools,Middle,94.3,218356.5,231443,27.1,508,9.8,184,1874,20160519
2015,01,Allegany,A,All Allegany Schools,High,93.6,298033.5,318374,27.5,710,12.8,330,2580,20160519
